# 字符	拼音	双拼	辅助码	完整编码	权重	来源
㕰	ma	ma	ru	maru	0	chars
㕰	xue	xt	ru	xtru	0	chars
㕱	you	yb	ru	ybru	0	chars
㕲	hua	hw	rd	hwrd	0	chars
㕲	ying	yy	rd	yyrd	0	chars
㕳	xiong	xs	rk	xsrk	0	chars
㕴	chen	if	rn	ifrn	0	chars
㕵	guo	go	rg	gorg	0	chars
㕵	hun	hp	rg	hprg	0	chars
㕵	luo	lo	rg	lorg	0	chars
㕶	fu	fu	rm	furm	0	chars
㕷	hua	hw	ra	hwra	0	chars
㕷	huo	ho	ra	hora	0	chars
㕷	pa	pa	ra	para	0	chars
㕷	pia	pw	ra	pwra	0	chars
㕸	li	li	rt	lirt	0	chars
㕹	fa	fa	re	fare	0	chars
㕺	hao	hk	rs	hkrs	0	chars
㕺	xiao	xc	rs	xcrs	0	chars
㕻	pou	pb	yr	pbyr	0	chars
㕻	tou	tb	yr	tbyr	0	chars
㕼	xiong	xs	rk	xsrk	0	chars
㕽	si	si	ro	siro	0	chars
㕿	he	he	hr	hehr	0	chars
㖀	le	le	rq	lerq	0	chars
㖀	luo	lo	rq	lorq	0	chars
㖁	lin	ln	ri	lnri	0	chars
㖂	yi	yi	rp	yirp	0	chars
㖃	hou	hb	rr	hbrr	0	chars
㖄	zhou	vb	rl	vbrl	0	chars
㖅	xu	xu	rm	xurm	0	chars
㖆	qu	qu	rw	qurw	0	chars
㖇	er	er	rl	errl	0	chars
㖈	lao	lk	jr	lkjr	0	chars
㖉	qi	qi	rm	qirm	0	chars
㖊	xun	xp	ri	xpri	0	chars
㖏	nei	nz	rg	nzrg	0	chars
㖏	nie	nx	rg	nxrg	0	chars
㖐	wei	wz	rk	wzrk	0	chars
㖑	xie	xx	rt	xxrt	0	chars
㖒	ti	ti	rh	tirh	0	chars
