 	gtzm,gxzm
に	zxz·㇂乛㇃,zaz·㇂一㇃,rxni
ぬ	szvv·㇏{α},rxnu
ね	iyvv·亅{𠄎},dzvv·{于下}α,rxne
の	zaaa·{α},rxno
は	zaz·㇂一α,zfvv·㇂朩,rxha
ば	zazt·㇂一α⺀,zftd·㇂朩⺀,rxba
ぱ	zazj·㇂一α〇,zfj·㇂朩〇,rxpa
ひ	yaaa·㇎,ziaa·凵,rxhi
び	ytd·㇎⺀,zitd·凵⺀,rxbi
ぴ	yjvv·㇎〇,zij·凵〇,rxpi
ふ	yovv·了八,sko·丶小,rxhu
ぶ	yotd·了八⺀,sktd·丶小⺀,rxbu
ぷ	yoj·了八〇,skj·丶小〇,rxpu
へ	saaa·乀,rxhe
べ	std·乀⺀,rxbe
ぺ	sjvv·乀〇,rxpe
ほ	zbz·㇂二α,zmf·㇂{余下},rxho
ぼ	zbzt·㇂二α⺀,zmtd·㇂{余下}⺀,rxbo
ぽ	zbzj·㇂二α〇,zmj·㇂{余下}〇,rxpo
ま	bdz·二α,afvv·一朩,rxma
み	ymvv·{𠄎}丿,rxmi
む	azs·一α丶,rxmu
め	szvv·㇏{α},zmaa·女,rxme
も	zbd·乚二,bdz·二乚,rxmo
ゃ	ysi·𠃌丶丨,rxya
や	ysi·𠃌丶丨,rxya
ゅ	zmvv·り丿,ldm·冂丿,rxyu
ゆ	zmvv·り丿,ldm·冂丿,rxyu
ょ	azvv·一α,rxyo
よ	azvv·一α,rxyo
ら	szvv·丶㇉,wdaa·宀,rxra
り	zaaa·り,kdaa·リ,ldaa·冂,rxri
る	yaaa·𠄎,rxru
れ	iyvv·亅{𠄎},dyda·{于下}乁,rxre
ろ	yaaa·𠄎,rxro
ゎ	iyvv·亅{𠄎},dyvv·{于下}𠃌,rxwa
わ	iyvv·亅{𠄎},dyvv·{于下}𠃌,rxwa
ゐ	yaaa·{𠄎},rxwi
ゑ	yaaa·{𠄎},yuo·{𠄎}灬,rxwe
を	azh·一𠃑匚,anh·一亻匚,rxwo
ん	zaaa·乚,rxn
ゔ	sytd·丶𠃌⺀,rxvu,aarx
ゕ	yms·力丶,rxka
ゖ	zgd·㇂𠂇,rxke
ァ	xmvv·㇇丿,yaaa·了,rdla
ア	xmvv·㇇丿,yaaa·了,rda
ィ	naaa·亻,rdli
イ	naaa·亻,rdi
ゥ	wdaa·宀,rdlu
ウ	wdaa·宀,rdu
ェ	biaa·工,rdle
エ	biaa·工,rde
ォ	dmvv·{于下}丿,rdlo
オ	dmvv·{于下}丿,rdo
カ	ymaa·力,rdka
ガ	ymtd·力⺀,rdga
キ	biaa·キ,rdki
ギ	bitd·キ⺀,rdgi
ク	raaa·𠂊,rdku
グ	rtd·𠂊⺀,rdgu
ケ	mam·𠂉丿,rdke
ゲ	mamt·𠂉丿⺀,rdge
コ	xaaa·コ,rdko
ゴ	xtd·コ⺀,rdgo
サ	eaaa·サ,rdsa
ザ	etd·サ⺀,rdza
シ	vaaa·氵,rdsi
ジ	vtd·氵⺀,rdzi
ス	xsaa·ス,rdsu
ズ	xstd·ス⺀,rdzu
セ	xzvv·𠃍乚,rdse
ゼ	xztd·𠃍乚⺀,rdze
ソ	udaa·ソ,rdso
ゾ	udtd·ソ⺀,rdzo
タ	rsaa·夊,rdta
ダ	rstd·夊⺀,rdda
チ	mgd·丿𠂇,rdti
ヂ	mgtd·丿𠂇⺀,rddi
ッ	vdaa·⺍,rdtu
ツ	vdaa·⺍,rdtu
ヅ	vdtd·⺍⺀,rddu
テ	bdm·二丿,rdte
デ	bdmt·二丿⺀,rdde
ト	idaa·卜,rdto
ド	idtd·卜⺀,rddo
ナ	gdaa·𠂇,rdna
ニ	bdaa·二,rdni
ヌ	xsaa·又,rdnu
ネ	wsaa·礻,rdne
ノ	maaa·丿,rdno
ハ	oaaa·八,rdha
バ	otd·八⺀,rdba
パ	ojvv·八〇,rdpa
ヒ	rraa·匕,rdhi
ビ	rrtd·匕⺀,rdbi
ピ	rrj·匕〇,rdpi
フ	xaaa·㇇,rdhu
ブ	xtd·㇇⺀,rdbu
プ	xjvv·㇇〇,rdpu
ヘ	saaa·乀,rdhe
ベ	std·乀⺀,rdbe
ペ	sjvv·乀〇,rdpe
ホ	faaa·朩,rdho
ボ	ftd·朩⺀,rdbo
ポ	fjvv·朩〇,rdpo
マ	xsaa·龴,rdma
ミ	vaaa·ミ,rdmi
ム	zsaa·厶,rdmu
メ	osaa·㐅,rdme
モ	ahd·一七,rdmo
ャ	xivv·乛丨,rdya
ヤ	xivv·乛丨,rdya
ュ	xaaa·ユ,rdyu
ユ	xaaa·ユ,rdyu
ョ	xbaa·⺕,rdyo
ヨ	xbaa·⺕,rdyo
ラ	axvv·一㇇,rdra
リ	kdaa·リ,rdri
ル	rdaa·儿,rdru
レ	zaaa·𠄌,rdre
ロ	jaaa·口,rdro
ヮ	wwaa·冖,rdwa
ワ	wwaa·冖,rdwa
ヰ	mbaa·ヰ,rdwi
ヱ	yavv·了一,rdwe
ヲ	xavv·㇇一,rdwo
ン	tdaa·冫,rdn
ヴ	wdtd·宀⺀,rdvu
ヵ	ymaa·力,rdka
ヶ	mam·𠂉丿,rdke
ヷ	wwtd·冖⺀,rdva
ヸ	mbtd·ヰ⺀,rdvi
ヹ	yatd·了一⺀,rdve
ヺ	xatd·㇇一⺀,rdvo
ー	chsk
ㄅ	aazy,zybo
ㄆ	aazy,zypo
ㄇ	ldaa,aazy,zymo
ㄈ	aazy,zyfo
ㄉ	aazy,zyde
ㄊ	azs,aazy,zyte
ㄋ	aazy,zyne
ㄌ	aazy,zyle
ㄍ	aazy,zyge
ㄎ	aazy,zyke
ㄏ	aazy,zyhe
ㄐ	aazy,zyji
ㄑ	aazy,zyqi
ㄒ	aazy,zyxi
ㄓ	aazy,zyzh
ㄔ	aazy,zych
ㄕ	aazy,zysh
ㄖ	aazy,zyri
ㄗ	yaaa,aazy,zyzi
ㄘ	aazy,zyci
ㄙ	aazy,zysi
ㄚ	aazy,zya
ㄛ	aazy,zyo
ㄜ	aazy,zye
ㄝ	aazy,zyeh
ㄞ	aazy,zyai
ㄟ	aazy,zyei
ㄠ	aazy,zyao
ㄡ	aazy,zyou
ㄢ	xzvv,aazy,zyan
ㄣ	zaaa,aazy,zyen
ㄤ	aazy,zyan
ㄥ	aazy,zyen
ㄦ	aazy,zyer
ㄧ	aazy,zyi
ㄨ	aazy,zyu
ㄩ	aazy,zyyu
ㄪ	aazy,zyv
ㄫ	aazy,zyng
ㄬ	aazy,zygn
ㄭ	aazy,zyih
ㄱ	xaaa·𠃍
ㄲ	xxvv·𠃍𠃍
ㄳ	xod·𠃍人
ㄴ	zaaa·𠃊
ㄵ	zao·𠃊ㅈ
ㄶ	zsvv·𠃊ㅎ
ㄷ	haaa·匸
ㄸ	hhvv·匸匸
ㄹ	yyaa·己
ㄺ	yyx·己𠃍
ㄻ	yyj·己口
ㄼ	yykb·己ㅂ
ㄽ	yyod·己人
ㄾ	yyh·己ㅌ
ㄿ	yyau·己ㅍ
ㅀ	yys·己ㅎ
ㅁ	jaaa·口
ㅂ	kbaa·ㅂ
ㅃ	kkaa·ㅃ
ㅄ	kbod·ㅂ人
ㅅ	odaa·人
ㅆ	ooaa·ㅆ
ㅇ	jaaa·㇣
ㅈ	aoaa·ㅈ
ㅉ	aaaa·ㅉ
ㅊ	sod·亠人
ㅋ	xavv·𠃍一
ㅌ	haaa·ㅌ
ㅍ	auaa·ㅍ
ㅎ	saaa·ㅎ
ㅏ	idaa·⺊
ㅐ	kda·〢一
ㅑ	idaa·ㅑ
ㅒ	kdaa·ㅒ
ㅓ	aivv·一丨
ㅔ	akd·一〢
ㅕ	bdi·二丨
ㅖ	bdkd·二〢
ㅗ	iavv·丨一
ㅘ	iaid·丨一⺊
ㅙ	iakd·丨一ㅒ
ㅚ	iai·丨一丨
ㅛ	kda·〢一
ㅜ	aiaa·丅
ㅝ	aiai·丅一丨
ㅞ	aiak·丅一〢
ㅟ	aii·丅丨
ㅠ	akd·一〢
ㅡ	aaaa·一
ㅢ	aivv·一丨
ㅣ	iaaa·丨
ㅥ	zzvv·𠃊𠃊
ㅦ	zhvv·𠃊匸
ㅧ	zod·𠃊人
ㅨ	zzs·𠃊Δ
ㅩ	yyxo·己𠃍人
ㅪ	yyh·己匸
ㅫ	yyko·己ㅂ人
ㅬ	yyzs·己Δ
ㅭ	yyaj·己一㇣
ㅮ	jkb·口ㅂ
ㅯ	jod·口人
ㅰ	jzs·口Δ
ㅱ	jij·口丨㇣
ㅲ	jxvv·口𠃍
ㅳ	jhvv·口匸
ㅴ	kbox·ㅂ人𠃍
ㅵ	kboh·ㅂ人匸
ㅶ	kbao·ㅂㅈ
ㅷ	kbh·ㅂㅌ
ㅸ	kbij·ㅂ丨㇣
ㅹ	kkij·ㅃ丨㇣
ㅺ	odx·人𠃍
ㅻ	odz·人𠃊
ㅼ	odh·人匸
ㅽ	odkb·人ㅂ
ㅾ	odao·人ㅈ
ㅿ	zsaa·Δ
ㆀ	ijij·丨㇣丨㇣
ㆁ	ijvv·丨㇣
ㆂ	ijod·丨㇣人
ㆃ	ijzs·丨㇣Δ
ㆄ	auij·ㅍ丨㇣
ㆅ	ssvv·ㅎㅎ
ㆆ	ajvv·一㇣
ㆇ	kdai·〢一ㅑ
ㆈ	kdak·〢一ㅒ
ㆉ	kdai·〢一丨
ㆊ	akbi·一〢二丨
ㆋ	akbk·一〢二〢
ㆌ	aki·一〢丨
ㆍ	saaa·丶
ㆎ	sivv·丶丨
㇀	aaaa·㇀
㇁	xaaa·㇁
㇂	zaaa·㇂
㇃	zaaa·㇃
㇄	zaaa·㇄
㇅	yaaa·㇅
㇇	xaaa·㇇
㇈	ydaa·㇈
㇉	zaaa·㇉
㇊	yaaa·㇊
㇋	yaaa·㇋
㇌	yaaa·㇌
㇍	ydaa·㇍
㇎	yaaa·㇎
㇏	saaa·㇏
㇘	xaaa·{㇁}
㇢	maaa·㇢
㇣	jaaa·㇣
㇥	zaaa·ㄣ
㇯	aajg,tbzf,vbzf
ㇰ	raaa·𠂊,rdku
ㇱ	vaaa·氵,rdsi
ㇲ	xsaa·ス,rdsu
ㇳ	idaa·卜,rdto
ㇴ	xsaa·又,rdnu
ㇵ	oaaa·八,rdha
ㇶ	rraa·匕,rdhi
ㇷ	xaaa·㇇,rdhu
ㇸ	saaa·乀,rdhe
ㇹ	faaa·朩,rdho
ㇺ	zsaa·厶,rdmu
ㇻ	axvv·一㇇,rdra
ㇼ	kdaa·リ,rdri
ㇽ	rdaa·儿,rdru
ㇾ	zaaa·𠄌,rdre
ㇿ	jaaa·口,rdro
㈠	dmav
㈡	dmbd
㈢	dmcd
㈣	dmlk
㈤	dmbx
㈥	dmso
㈦	dmhd
㈧	dmoa
㈨	dmqy
㈩	dmed
㈪	aakz
㈫	aakz
㈬	aakz
㈭	aakz
㈮	aakz
㈯	aakz
㈰	aakz
㈱	aakz
㈲	aakz
㈳	aakz
㈴	aakz
㈵	aakz
㈶	aakz
㈷	aakz
㈸	aakz
㈹	aakz
㈺	aakz
㈻	aakz
㈼	aakz
㈽	aakz
㈾	aakz
㈿	aakz
㉀	aakz
㉁	aakz
㉂	aakz
㉃	aakz
㉿	aats
㊀	juav
㊁	jubd
㊂	jucd
㊃	julk
㊄	jubx
㊅	juso
㊆	juhd
㊇	juoa
㊈	juqy
㊉	jued
㊊	aaqz
㊋	aaqz
㊌	aaqz
㊍	aaqz
㊎	aaqz
㊏	aaqz
㊐	aaqz
㊑	aaqz
㊒	aaqz
㊓	aaqz
㊔	aaqz
㊕	aaqz
㊖	aaqz
㊗	aaqz
㊘	aaqz
㊙	aaqz
㊚	aaqz
㊛	aaqz
㊜	aaqz
㊝	aaqz
㊞	aaqz
㊟	aaqz
㊠	aaqz
㊡	aaqz
㊢	aaqz
㊣	aaqz
㊤	aaqz
㊥	aaqz
㊦	aaqz
㊧	aaqz
㊨	aaqz
㊩	aaqz
㊪	aaqz
㊫	aaqz
㊬	aaqz
㊭	aaqz
㊮	aaqz
㊯	aaqz
㊰	aaqz
㋀	avqv
㋁	bdqv
㋂	cdqv
㋃	lkqv
㋄	bxqv
㋅	soqv
㋆	hdqv
㋇	oaqv
㋈	qyqv
㋉	edqv
㋊	eavq
㋋	ebdq
㍘	foij,jaij,folb,jalb
㍙	avij,avlb
㍚	bdij,bdlb
㍛	cdij,cdlb
㍜	lkij,lklb
㍝	bxij,bxlb
㍞	soij,solb
㍟	hdij,hdlb
㍠	oaij,oalb
㍡	qyij,qylb
㍢	edij,edlb
㍣	eavi,eavl
㍤	ebdi,ebdl
㍥	ecdi,ecdl
㍦	elki,elkl
㍧	ebxi,ebxl
㍨	esoi,esol
㍩	ehdi,ehdl
㍪	eoai,eoal
㍫	eqyi,eqyl
㍬	bedi,bedl
㍭	beai,beal
㍮	bebi,bebl
㍯	beci,becl
㍰	beli,bell
㏠	avka
㏡	bdka
㏢	cdka
㏣	lkka
㏤	bxka
㏥	soka
㏦	hdka
㏧	oaka
㏨	qyka
㏩	edka
㏪	eavk
㏫	ebdk
㏬	ecdk
㏭	elkk
㏮	ebxk
㏯	esok
㏰	ehdk
㏱	eoak
㏲	eqyk
㏳	bedk
㏴	beak
㏵	bebk
㏶	beck
㏷	belk
㏸	bebk
㏹	besk
㏺	behk
㏻	beok
㏼	beqk
㏽	cedk
㏾	ceak
㐀	iaia·丨一⺊一
㐁	ajod·一囗人
㐂	hdhh·七七七
㐃	zsi·Δ丨
㐄	mba·㐄
㐅	osaa·㐅
㐆	pdxy·⺁⺕𠃌
㐇	qyyd·九乙
㐈	oday·入乙
㐉	aiyd·丁乙
㐊	byda·士乙
㐋	byda·土乙
㐌	mayi·𠂉也
㐍	pvyd·爫乙
㐎	soyd·文乙
㐏	bixy·工𠃍乙
㐐	zmxy·女又乙
㐑	rsty·夂⺀乙
㐒	ydjy·刀口乙
㐓	aijy·丁口乙
㐔	sjyd·亠口乙
㐕	kiay·由乙
㐖	bjz·士口乚
㐗	bmry·耂匕乙
㐘	ufyd·米乙
㐙	ajuy·一口䒑乙
㐚	bijy·工𠃍口乙
㐛	ngjy·亻𠂇口乙
㐜	dvsq·{于下}{冫く}丶九
㐝	drjy·扌勹口乙
㐞	ecyd·其乙
㐟	kcyd·非乙
㐠	pvzy·爫子乚乙
㐡	qygg·九而大
㐢	vpyy·氵爫子乙
㐣	tgfy·广車乙
㐤	qylo·九十{具上}八
㐥	plyy·釒且力乙
㐦	nbmy·{臼}一㇉丿八手乙
㐧	sxim·丶乛亅丿
㐨	xsxi·龴乛亅龴乛亅
㐩	bdbn·二{丿丨}二{丿丨}
㐪	gdzi·大凵,szod·亠凵人
㐫	sozi·亠㐅凵
㐬	sznd·亠厶{巟下}
㐭	sjj·亠囗口
㐮	soer·亠八{冓上}𧘇
㐯	sjmk·亠口口禾日
㐰	njvv·亻口
㐱	odpd·人彡
㐲	ngd·亻大
㐳	ngr·亻兀
㐴	nrs·亻夕
㐵	nad·亻一{于下}
㐶	nyyb·亻巳
㐷	nxvv·亻马
㐸	nro·亻欠
㐹	nmy·亻气
㐺	nnod·亻亻人
㐻	nlod·亻冂入
㐼	nme·亻丿廾
㐽	nqos·亻⺇㐅
㐾	nbrd·亻二儿
㐿	nmd·亻手
㑀	ngs·亻大丶
㑁	nzzi·亻屮凵
㑂	nalo·亻一冂人
㑃	nzzy·亻𠃋厶力
㑄	nzy·亻母
㑅	nmia·亻𠂉⺊一
㑆	njrd·亻口儿
㑇	nrxb·亻⺈⺕
㑈	nhko·亻七小
㑉	nqar·亻⺇一夕
㑊	nsno·亻亠{丿亅}八
㑋	nkkd·亻日〢
㑌	nhc·亻匚王
㑍	nck·亻耒
㑎	nzll·亻巛山
㑏	nwds·亻宀寸
㑐	niak·亻⺊一小
㑑	nnl·亻自
㑒	odjo·人一口人
㑓	nzgx·亻厶𠂇又
㑔	ngo·亻页
㑕	nlrs·亻山夕
㑖	nnji·亻亻口丨
㑗	nnc·亻身
㑘	nhe·亻戈廾
㑙	ncz·亻耳乚
㑚	nyby·亻𠃌{キ}阝
㑛	nfj·亻木口
㑜	ndpd·亻扌斤
㑝	nce·亻王廾
㑞	nue·亻火廾
㑟	npo·亻丘八
㑠	nkxb·亻〢又土
㑡	nxy·亻{艮}卩
㑢	nbzy·亻土厶卩
㑣	nff·亻木木
㑤	neki·亻艹田
㑥	nkro·亻日勹{丿丿}
㑦	nwgs·亻戶大丶
㑧	nmya·亻禾子
㑨	njma·亻口矢
㑩	nlrs·亻罒夕
㑪	nsnd·亻文{斉下}
㑫	noxw·亻人一㇇心
㑬	nzej·亻女十口
㑭	nkan·亻田一{丿丨}
㑮	nwfk·亻冖車
㑯	ngo·亻頁
㑰	nzgq·亻{互中}豕
㑱	nxmf·亻龴乛亅丿木
㑲	neld·亻十{南下}
㑳	nrrz·亻勹{艸左}勹{艸左}
㑴	nxlx·亻⺕冖巾又
㑵	ntma·亻疒矢
㑶	nmy·亻氣
㑷	nzrr·亻厶⺼匕匕
㑸	neaj·亻十口丁口
㑹	odkk·人一由日
㑺	nnym·亻隹𠄎丿
㑻	nwml·亻宀心丿山
㑼	nkrj·亻田夂口
㑽	nkjb·亻⺌冖口土
㑾	nrs·亻{炙上}言
㑿	nzkf·亻巛日木
㒀	nsul·亻亠丷{啇下}
㒁	njbu·亻囗土{幸下}
㒂	nebm·亻艹者
㒃	nhbl·亻弋二貝
㒄	nrsu·亻{炙上}大丶灬
㒅	nsrr·亻亠夕夕𧘇
㒆	noyy·亻人一口习习
㒇	nmeu·亻𠂉{無中}灬
㒈	nacm·亻丅耳攵,nxcm·亻𠃍耳攵
㒉	nkjf·亻⺌冖口木
㒊	nyii·亻刀丶刀丶止止
㒋	nepd·亻其斤
㒌	nuwq·亻火火冖几
㒍	nzzz·亻厶厶厶糸
㒎	nagk·亻一大非
㒏	nwot·亻宀{冓上}八⺀
㒐	nmrk·亻⺮勹日
㒑	nhvn·亻匚氵隹
㒒	nku·亻業
㒓	nwbu·亻辶土羊
㒔	nlri·亻罒勹虫
㒕	nszn·亻亠𠃋{亥中}隹
㒖	nelz·亻艹日冂{丄、}
㒗	newh·亻{其上}冖至
㒘	nhxs·亻臣又立
㒙	nznl·亻糹白巾
㒚	npxw·亻爫工⺕心
㒛	nyyn·亻习习隹
㒜	nnmo·亻{臼}一㇉丿八,nnio·亻{臼}一𠃑丨八
㒝	nihs·亻丨一⺊罒戊丶,nehs·亻艹罒戊丶
㒞	nliy·亻山隹丨㇅丨𠃌
㒟	nscr·亻亠馬𧘇
㒠	nika·亻⺊夕又非一
㒡	nrmz·亻{炙上}𠂉十凵丿糸,npmz·亻爫𠂉十凵丿糸
㒢	nojl·亻人一口口口{扁下}
㒣	ntnw·亻广亻隹心
㒤	nccc·亻耳耳耳
㒥	nci·亻豐
㒦	nkkb·亻田田田土
㒧	nszn·亻亠㐅凵冂厶隹
㒨	nngy·亻⺽丿同大巳
㒩	nzii·亻{互中}豕虫虫
㒪	odig·人臣臣止豕
㒫	aiar·一⺊一儿
㒬	bdrc·二儿王
㒭	jrjr·口儿口儿
㒮	bdrg·二儿豕
㒯	koeb·⺌兀艹一⺿キ
㒰	odab·入工
㒱	odar·入夕
㒲	odak·入日
㒳	ldio·冂入丨入
㒴	odaz·入屮凵
㒵	nko·白八
㒶	onk·八白
㒷	ldao·𠔿一八
㒸	udgq·丷豕
㒹	edao·十目一八十目一八,edlo·十{具上}八十{具上}八
㒺	ldzo·冂䒑𠃊人
㒻	klr·⺜見
㒼	eaoo·廿巾入入
㒽	kuyy·⺜龹㔾
㒾	ksmy·⺜方𠂉也
㒿	kszn·⺜亠㐅凵冂厶隹
㓀	wwid·冖卜
㓁	wwrd·冖儿,wwo·冖八
㓂	wwrz·冖二儿女
㓃	wwmh·冖訁丿七
㓄	zswr·厶厶厶人彡冖儿
㓅	tdai·冫丁
㓆	tdor·冫人匕
㓇	tdmg·冫丿大
㓈	tdg·冫石
㓉	tdmi·冫舌
㓊	tdld·冫同
㓋	tdeo·冫龷八
㓌	tdoc·冫入王
㓍	tdzr·冫亠厶儿
㓎	tdwx·冫⺕冖又
㓏	tdld·冫冏
㓐	tdrb·冫土儿土,tdob·冫土八土
㓑	tdbu·冫土{幸下}
㓒	tdou·冫七人⺗
㓓	tdel·冫十{南下}
㓔	tdnd·冫身寸
㓕	tdau·冫戊一火
㓖	tdeb·冫田卄キ
㓗	tdyz·冫丰刀糸
㓘	qdrc·⺇一{炙上}王
㓙	sozi·文凵
㓚	bikd·工刂
㓛	biyd·工刀
㓜	zzyd·𠃋厶刀
㓝	bdnk·二{丿丨}刂
㓞	ciyd·丰刀
㓟	xikd·皮刂
㓠	idjk·⺊口刂
㓡	mazk·𠂉十凵刂
㓢	rsjk·夂口刂
㓣	odjk·人一口刂
㓤	bjkd·士口刂
㓥	koxk·⺌⺕刂
㓦	ankd·一白刂
㓧	odjk·人一㇇口刂
㓨	gdok·大人人刂
㓩	rlkd·⺈用刂
㓪	sxyd·丶艮刀
㓫	gdek·大一廾刂
㓬	ubyk·龹刀刂
㓭	krkd·日匃刂
㓮	ldjk·⺆土口刂
㓯	zdkk·巛田刂
㓰	akzk·一由凵刂
㓱	odkk·人一月刂刂
㓲	wmlk·戶{扁下}刂
㓳	kaik·日一龰刂
㓴	glgk·而大刂
㓵	jjzk·口口二㇉刂
㓶	cigk·丰刀大刂
㓷	nlfk·自木刂
㓸	bzkd·{斲左}刂
㓹	gguk·厂火火刂
㓺	ihsk·虍文刂
㓻	lkik·罒一止刂
㓼	fokk·木人氺刂
㓽	llbk·山宀示刂
㓾	xmmk·尸氺牛刂
㓿	mfkk·禾人水刂
㔀	kskk·日亠口小刂
㔁	xsuk·癶一口䒑刂
㔂	ufmk·米夕㐄刂
㔃	zyyy·糹刀巴刀,zryy·糹⺈巴刀
㔄	fjuk·覀米刂
㔅	xbnk·肀{淵右}刂
㔆	hrkk·{匸}儿{匸}儿日刂
㔇	xsqk·癶弓殳刂
㔈	ekkd·艹非刂
㔉	xmlk·尸丿虫冂刂
㔊	sjak·亠囗口日一刂
㔋	hmlk·臣𠂉一皿刂
㔌	ceok·耳又亻人人刂,cegk·耳又乑刂
㔍	mlek·⺮目廾刂
㔎	zisy·{艸左}丿{官下}辛刀
㔏	gggk·石石石刂
㔐	mbkk·⺮二非刂
㔑	emsy·艹丿{官下}辛刀
㔒	lllk·山隹冏刂
㔓	meym·千力
㔔	ymjj·力口㇣
㔕	myym·气力
㔖	ymjx·力口𠃍
㔗	yzny·弓{丿丨}力
㔘	zizy·屮凵力
㔙	uaey·䒑廾力
㔚	miym·舌力
㔛	bjym·士口力
㔜	pvyy·爫子力
㔝	aloy·一巾入入力
㔞	mery·千{北左}匕力
㔟	mcqy·生丸力
㔠	krym·日匃力
㔡	njry·{囟框}㐅匕匕力
㔢	zyyy·糹刀巴力,zryy·糹⺈巴力
㔣	kiky·田田田力
㔤	wdky·宀釆田力
㔥	lkry·罒厶⺼匕匕力
㔦	ucxy·⺷八一艮力
㔧	ihly·虍田皿力
㔨	ryrq·勹{北左}匕⺼
㔩	ryzl·勹土厶皿
㔪	ryjo·勹⺊囗※
㔫	gdrr·𠂇匕
㔬	rrke·匕日十
㔭	rrai·匕日一龰
㔮	earr·廿口二人厶⺼匕匕
㔯	hoj·匚八口,hqj·匚几口
㔰	hrid·匚夕卜
㔱	hnod·匚臼人
㔲	hoqy·匚飠九
㔳	hoqd·匚⻞几
㔴	hkeo·匚田龷八
㔵	hyeo·匚巳巳龷八
㔶	hsml·匚立日十夂㐄貝,hsbl·匚立日十夂工貝
㔷	halo·匸一冂人
㔸	hpih·匸⺁虎
㔹	edym·十力
㔺	edhe·十七十,edez·十十乚
㔻	gied·不十
㔼	dned·扌隹十
㔽	idjj·⺊囗口
㔾	yyb·㔾
㔿	azi·一丩
㕀	kiay·由㔾
㕁	oszy·㐅𠂇厶卩
㕂	ggax·厂人一㇇,ggsx·厂人丶㇇
㕃	ggae·厂一廾
㕄	ggzz·厂一𠃋厶
㕅	ggki·厂甲
㕆	ggej·厂十口
㕇	ggsu·厂立
㕈	ggsr·厂亠𧘇
㕉	ggaj·厂人一口
㕊	ggfb·厂甫
㕋	ggp·厂金
㕌	ggad·厂日一寸
㕍	ggni·厂隹
㕎	ggzl·厂土厶皿
㕏	ggte·厂一口䒑⺀十
㕐	ggru·厂⺽勹灬
㕑	ggud·厂士口䒑寸
㕒	ggmh·厂⺷手戈
㕓	ggub·厂{柬中}土灬土
㕔	ggaw·厂耳丿土十罒一心
㕕	zszs·厶厶
㕖	zszf·厶厶厶木
㕗	ucsz·⺷𠂊㇏厶
㕘	zsok·厶厶厶人小
㕙	zsrs·厶儿夊⺈口儿丶
㕚	xsss·又丶丶
㕛	xsxs·又又
㕜	jixs·口丨又
㕝	edjx·十口又
㕞	xmlx·尸巾又
㕟	idlx·⺊{扁下}又
㕠	tdnx·冫隹又
㕡	idjx·⺊冖一八人口又
㕢	idlx·⺊冖一貝又
㕣	ojvv·八口
㕤	jqy·口九
㕥	jod·口人
㕦	jgd·口大
㕧	jxm·口尸
㕨	jqda·口凡
㕩	jci·口丰
㕪	jwrd·口冖儿
㕫	jsy·口方
㕬	jozs·口八厶
㕭	jmgd·口丿大
㕮	joos·口八乂
㕯	ldoj·冂入口
㕰	jmh·口毛
㕱	jgr·口尤
㕲	jfvv·口木
㕳	jozi·口㐅凵
㕴	jwqd·口冖几
㕵	jcvv·口王
㕶	jbx·口工𠃍
㕷	jnk·口白
㕸	jsu·口立
㕹	jgos·口𠂇乂丶,jgxs·口𠂇又丶
㕺	jjaz·口口一㇉
㕻	sgj·丶不口
㕼	jrzo·口勹𠃊㐅
㕽	jzod·口{以左}人
㕾	kojr·小口匕
㕿	mfj·禾口
㖀	jxbd·口肀二
㖁	jogz·口㐅𠂇厶
㖂	jkzm·口日㇂丿
㖃	jpaj·口⺁一口
㖄	jvnd·口{⺍}川
㖅	jha·口戊一
㖆	jkkd·口日〢
㖇	jgl·口而
㖈	bmrj·耂匕口
㖉	joii·口人止
㖊	jxds·口⺕寸
㖋	odjr·人{丿丨}口匕
㖌	nqjr·亻九口匕
㖍	tdjr·⺀十口匕
㖎	jron·口匕人{丿丨}
㖏	jkb·口日土
㖐	jjxm·口口尹
㖑	jhe·口戈廾
㖒	juyz·口丷{弟下}
㖓	jrci·口夂丰
㖔	jagj·口一大口
㖕	jse·口辛
㖖	sej·辛口
㖗	jlax·口山人一㇇,jlsx·口山人丶㇇
㖘	jgh·口辰
㖙	ymjr·力口口匕
㖚	ndjr·亻寸口匕
㖛	edjr·十口口匕
㖜	sjjr·亠口口匕
㖝	bdjr·二小口匕
㖞	jjlo·口口冂人
㖟	jpwx·口爫冖又
㖠	jgbk·口大示
㖡	jsnr·口亠亻{夊}
㖢	jtir·口广止匕
㖣	jsj·口立口
㖤	jxkz·口㇇氺凵
㖥	jjmf·口囗禾
㖦	jfk·口木日
㖧	jrk·口氏日
㖨	jzkv·口彑氺,jxkv·口⼹氺
㖩	jcxs·口耳又
㖪	jhja·口戈口一
㖫	jbrr·口土儿夊,jbor·口土八夊
㖬	jnxs·口臼又
㖭	jagu·口一大⺗
㖮	joal·口人一{扁下}
㖯	ldjr·同口匕
㖰	jrld·口匕同
㖱	snrj·亠亻{夊}口
㖲	zmjr·女口口匕
㖳	vzjr·氵女口匕
㖴	jero·口艹勹{丿丿}
㖵	jlo·口{具上}八
㖶	jfb·口西土
㖷	jkai·口日一龰
㖸	jih·口虍ㅌ
㖹	joyl·口八刀皿
㖺	jco·口春
㖻	jxmf·口龴乛亅丿木
㖼	jef·口甘木
㖽	jgo·口頁
㖾	jjuz·口口䒑{艸左}
